year,avg_temp
1750,9.08
1751,9.77
1752,1.69
1753,8.50
1754,8.73
1755,5.59
1756,9.07
1757,7.92
1758,7.08
1759,8.03
1760,6.44
1761,8.99
1762,8.52
1763,6.08
1764,8.53
1765,7.90
1766,8.99
1767,7.51
1768,7.47
1769,8.20
1770,8.08
1771,9.00
1772,8.69
1773,8.93
1774,8.40
1775,9.39
1776,8.46
1777,8.01
1778,5.93
1779,8.84
1780,11.57
1781,8.68
1782,8.14
1783,7.87
1784,7.71
1785,7.60
1786,8.13
1787,8.15
1788,8.74
1789,8.46
1790,8.38
1791,8.50
1792,7.95
1793,8.72
1794,8.78
1795,8.38
1796,8.25
1797,8.01
1798,8.84
1799,8.46
1800,8.55
1801,8.93
1802,9.16
1803,8.97
1804,8.81
1805,9.19
1806,8.49
1807,8.28
1808,8.37
1809,7.60
1810,7.89
1811,8.01
1812,6.77
1813,8.07
1814,7.92
1815,7.29
1816,6.76
1817,6.92
1818,7.65
1819,7.77
1820,7.74
1821,7.53
1822,8.45
1823,7.75
1824,8.14
1825,9.25
1826,8.89
1827,8.94
1828,9.67
1829,8.30
1830,9.28
1831,7.58
1832,8.74
1833,8.85
1834,9.14
1835,8.06
1836,7.15
1837,7.88
1838,7.35
1839,8.67
1840,8.77
1841,8.20
1842,8.71
1843,7.46
1844,8.92
1845,8.92
1846,9.42
1847,7.84
1848,8.54
1849,8.04
1850,8.35
1851,8.43
1852,8.20
1853,8.83
1854,9.15
1855,8.03
1856,6.93
1857,7.32
1858,9.02
1859,8.48
1860,8.34
1861,8.29
1862,8.03
1863,8.16
1864,7.97
1865,8.51
1866,7.37
1867,7.92
1868,7.29
1869,7.42
1870,8.92
1871,8.29
1872,7.33
1873,7.55
1874,8.56
1875,6.32
1876,8.14
1877,9.08
1878,9.59
1879,8.44
1880,9.05
1881,9.01
1882,8.74
1883,7.08
1884,8.05
1885,6.52
1886,7.86
1887,8.12
1888,7.27
1889,8.46
1890,8.70
1891,8.81
1892,7.95
1893,7.56
1894,9.22
1895,7.74
1896,8.66
1897,8.50
1898,9.12
1899,8.66
1900,9.10
1901,8.21
1902,8.51
1903,8.21
1904,6.88
1905,8.02
1906,9.07
1907,7.41
1908,8.93
1909,8.47
1910,8.47
1911,9.25
1912,7.50
1913,9.26
1914,8.31
1915,8.33
1916,8.47
1917,6.55
1918,8.49
1919,9.19
1920,8.09
1921,10.51
1922,9.29
1923,8.43
1924,7.51
1925,8.35
1926,7.48
1927,8.99
1928,8.59
1929,8.02
1930,9.11
1931,10.45
1932,9.23
1933,9.54
1934,8.74
1935,8.29
1936,8.35
1937,8.57
1938,9.77
1939,9.41
1940,7.89
1941,9.76
1942,8.92
1943,8.14
1944,9.14
1945,8.46
1946,9.74
1947,8.67
1948,8.87
1949,10.02
1950,8.20
1951,8.52
1952,9.55
1953,10.05
1954,9.22
1955,9.76
1956,8.80
1957,8.86
1958,8.37
1959,9.14
1960,8.51
1961,9.04
1962,8.47
1963,8.24
1964,9.27
1965,8.52
1966,8.52
1967,8.37
1968,8.91
1969,8.67
1970,8.87
1971,9.23
1972,7.98
1973,9.92
1974,8.72
1975,9.34
1976,8.20
1977,8.83
1978,7.89
1979,8.16
1980,8.18
1981,8.69
1982,8.62
1983,9.25
1984,8.98
1985,8.92
1986,9.23
1987,10.19
1988,9.25
1989,8.33
1990,10.02
1991,10.26
1992,8.61
1993,8.67
1994,8.93
1995,9.06
1996,8.42
1997,8.75
1998,11.29
1999,10.15
2000,9.34
2001,10.29
2002,10.01
2003,8.73
2004,9.26
2005,9.73
2006,10.43
2007,9.84
2008,9.06
2009,8.88
2010,10.26
2011,9.79
2012,11.17
2013,10.90
